Card / Deck	Oh God, You Devil	Omnath Bloodbath	What in Damnations	Angela's Party Time	Goblins	The deck with no name	Not Green	Brother of Mishra	Triple H	Blood Bath	Operation Titan	Dee Void	Bosom Buddies	Strange Thingies	Feed your head	Monsters and Mazes	MechaDragonTron	Hydra Porn	Black Hole	Meow Meow Beans	Good guys wear black	No Rares	Pale Horse	Werewolves	Trogdors	I win You lose	Fish Sticks	Slimefoot	Monkey Joe	Land Creation	Fancy Pants	Hell's Angels	X-Men	Zombies!	Vampires	Mill Deck	Heavenly Inferno	Niv-Mezzet	Mono Blue	Big Creature	Jeski Cycle	A.L.B.S.	Super Friends	Mimeoplasm	Bant Enchant	Mono Green (Elves)	Red Artifact	Clones	Gods	Bolas	Breed Lethality
Artifact Mutation																				1																															
Artisan of Kozilek												1										1											1																		
Arvad, the cursed							1																																												
Ascend from Avernus																									1																										
Ascendant Packleader																								1																											
Ash Barrens						1			1					1	1						1		1	1		1		1	1			1			1	1		1			1		1	1				1			
Ashaya, Soul of the Wild																																								1											
Ashen Rider			1				1																												1																
Ashiok, Dream Render																																											1								1
Ashiok, Nightmare Muse																																											1								
Ashiok, Sculptor of Fears																																		1																	
Ashnod's Altar															1																																				
Assasin's Trophy									1				1															1	1															1					1		
Astral Cornicopia																																																			1
Astral Drift																																									1										
Atarka, World Render																									1																										
Atheros, God of Passage																																																	1		
Atla Palani, Nest Tender													1							Commander																															
Atraxa, Praetor's Voice																																																			Commander
Attempted Murder									1												1																														
Augur of Autumn		1																																																	
Aura Shards															1																																				
Auspicious Starrix																																	1																		
Austere Command																							1										1				1														
Avabruck Caretaker											1												 	1																											
Avacyn, Angel of Hope																									1										1		1				1										
Avadon, the despoiler				1																																															
Avenger of Zendikar															1													1												1		1									
Avenging Hunt Bonder																																1																			
Awaken the Woods															1														1																						
Ayara, First of the locthwain																					1																														
Azor's Elocutors																										1																									
Azorious Signet																	1																																		
Azorius Locket																			1																																
Azurious Guildgate		1																																																	
Azusa, Lost but Seeking		1																																								Commander									
Bad Moon																																		1																	
Bag of Holding																1																									1										
Bahal, Lord of Murder																																																			
Bala Ged Recovery (flip)		1								1	1				1			1				1						1												1		1						1			
Baldur's Gate		1																																																	
Balefire Dragon																																					1													1	
Baleful Strix																										1																									
Ballon Stand									a																																										
Balor																1																																			
Band Together																		1																																	
Bane of Progress																								1																											
Baneslayer Angel																																	1																		
Barkchannel Pathway										1																																									
Barren Moor														1							1													1									1	1						1	
Basalt Monolith												1			1			1	1		1	1	1					1							1					1	1	1		1				1			
Basilisk Gate		1																																																	
Basri Ket																																			1																1
Batterskull																										1			1		1			1		1	1	1				1	1			1			1		
Battle Mammoth										1																							1							1											
Battlefield Forge							1													1											1																				
Be'lakor, The dark master				Commander																																															
Beacon of unrest									1																									1																1	
Beanstalk Giant															1							1																				1									
Bear Umbra																																													1						
Beast Whisperer										1	1																																								
Beast within													1																																						
Bedeviled																																																		1	
Beearer of the Heavens																														1																					
Beledros Witherbloom									1																			1	1																						
Bend or BReak																														1																					
Berserk																		1																																	
Binding of the Old Gods									1																																										
Biophagus																																																			1
Biowaste Blob																												1																							
Birds of Paradise		1									1							1		1				1	1				1				1							1		1		1	1			1			1
Birgi, God of Story Telling (Flip)																																															1		1		
Bitter Blossom						1			1																																										
Black Hole									1																																										
Black Market						1																																													
Blackblade Reforged							1													1																															
Blade of Selves							1		1																																										
Blade of the Blood Cheif																																			1																
Blasphemous Act	1	1		1							1													1																							1				
Blast Zone												1																																			1				
Blasted Landscape												1																													1										
Blatant Theivery																																																1			
Bleed Dry						1																																													
Blight step pathway (flip)						1																																											1		
Blighted Woodland											1																					1	1									1									
Blightsteel Colossus																										1																									
Blood crusher of Khorne				1																																															
Blood Crypt						1																			1					1					1								1							1	
Blood for the blood god!				1																																															
Blood Forged Battle Axe							1																								1																				
Blood Moon	1				1																									1																	1				
Blood on the snow																					1																														
Bloodline Keeper																																			1																
Bloodstained Mire	1								1				1																					1			1	1					1								
Bloodthirster				1																																															
Bloom Tender											1																																								
Blooming Marsh																												1																							
Blossoming Sands																																	1																		
Blue Sun's Zenith								1											1																			1	1												
Body Double																																																			
Body of Knowledge											1																																								
Bojuka Bog														1							1																1														
Bolas's Citadel			1																		1													1																	
Bonder's Enclave												1																																							
Bonders' Enclave																																	1											1							
Boneyard Lurker																																	1																		
Bookworm																						1																													
Boom and Bust	1																																																		
Boon of the Wish-Giver																																									1										
Bootlegger's stash													1		1																																				
Boros Charm																																					1														
Boros Guildgate		1																																																	
Boros Signet																1																																			
Boseiju who shelters all																											1																								
Boseiju, who endures									1		1				1			1																										1		1		1			
Bosh, Iron Golum																																															1				
Botanical Sanctum										1																														1					1						
Bounce Chamber									a																																										
Bountiful Promenade															1	1				1												1													1						
Brain Geyser																																							1												
Brainstorm								1																												1		1	1						1			1			
Bramble Sovereign																																										1									
Bramblecrush																														1																					
Branching Evolution																		1																																	
Branchloft pathway (flip)															1					1												1																	1		
Brash Taunter	1				1						1									1										1	1																				
Breaker of Armies																						1																													
Bred for the hunt																																																			1
Breeding Pool		1								1															1															1				1	1			1			1
Bribery																											1									1												1			
Brightclimb pathway (flip)			1																1							1							1		1		1												1		
Brilliant Restoration								1									1																																		
Brinelin, The moon Kraken											1											1																													
Bringer of the black dawn																									1																										
Bruna, Light of Alabaster																																													1						
Brunor Battle Hammer																															Commander																				
Brushland															1																																				
Bruvack, The Grandiloquent																																				Commander															
Budok Gardener																																1																			
Bumper Cars									a																																										
Buried Alive																																												1							
Buried Ruin												1																																							
Burly Breaker																								1																											
Burn down the house	1																																																		
Burning-Rune Demon																					1																1														
Burnished Heart	1		1			1	1		1	1	1	1	1	1	1			1			1					1		1																							
Burried Ruin																																															1				
Butcher of Malakir																																			1																
By Invitation Only																				1			1																												
Cabal Coffers																					1																														
Cabal Patriarch																																																			
Cabal Stronghold																					1																														
Cackaling Counterpart																																																1			
Cadira, Caller of the Small															Commander																																				
Caged Sun																											1																			1	1				
Calix, Destiny's Hand																																													1						
Canopy Technician																																														1					
Canopy Vista																				1												1													1						
Canyon Slough						1																													1		1						1								
Capsize																																							1												
Captivating Crew						1																																													
Captivating Gyre										1												1																													
Captivating Vampire																																			1																
Captive Audience						1																																													
Cartographer's Survery		1																																																	
Cascade Bluffs				1						1																												1			1		1							1	
Cascading Cataracts													1												1																										
Cast Out																																									1										
Castle Ardenvale																															1																				
Castle Embereth					1															1				1							1																1				
Castle Garenbrig																								1																		1				1					
Castle Locthwain																					1								1					1																	
Castle Vantress										1																	1							1		1			1		1									1	
Casualties of War																														1														1							
Cataclismic Gearhulk																																																			
Catastrophe																							1																												
Cathar's Crusade															1																																				1
Cave of the Frost Dragon								1								1	1		1				1																												
Cavern of Souls					1																														1											1					
Cavern Whisperer																																	1																		
Caves of Koilos			1																1																																
Celebr-8000									1																																										
Celestial Archon																																													1						
Celestial Colonade																	1									1																							1		
Celestial Convergence																										1																									
Cemetery Descecrator																																		1																	
Cemetery Prowler																								1																											
Cemetery Reaper																																																			
Chain Lightning	1																																																		
Chainer Dementia Master																					1																														
Chainer's Edict			1																		1														1																
Chandra, Awakened Inferno	1					1														1										1													1				1				
Chandra, Flamecaller	1					1																		1																											
Chandra, heart of fire																																															1				
Chandra, torch of defiance	1				1	1				1										1											1																			1	
Chaos Defiler				1																																															
Charcoal Diamond			1			1									1	1														1																					
Charmbreaker Devils	1																																					1									1				
Chatter, the squirrel																													1																						
Chatterfang, The Squirrel General																													Commander																						
Chatterstorm																													1																						
Chief Jim Hopper																1																																			
Child of the Pack																								1																											
Chittering Harvester																																	1																		
Chitterspitter																													1																						
Choked Estuary							1																																												
Chromanticore													1																																						
Chromatic Lantern				1			1	1			1					1									1					1					1			1					1								
Chromatic Orrery								1						1					1	1					1	1		1		1		1						1		1						1		1		1	
Chrome Mox																									1							1																			
Cinder Glade																								1																											
Circuitous Route		1																																																	
Citadel Gate		1																																																	
City of Brass		1		1									1																															1							1
Cleansing Nova																							1																												
Clearwater pathway (flip)				1															1							1																		1					1		
Cleaver Skaab																																		1																	
Clever Impersonator																																		1									1					1			
Cliffgate		1																																																	
Clone																						1																										1			
Clone Leagion																																																1			
Cloudsteel Kirin							1										1																																		
Clown Car									1																																										
Clown Extruder									a																																										
Coalition Relic													1							1				1		1				1								1	1		1	1	1						1		
Coat of Arms																								1			1	1	1			1														1					
Codex Shredder																																				1															
Coffin Queen																																																			
Coldsteel Heart							1																																												
Colfenor, the Last Yew																																	1																		
Colossal Sky Turtle		1								1	1																																								
Colossal Wahel										1																																									
Colossol Plow																	1																																		
Colossosus Agros																																															1				
Colossus Hammer									1																						1																				
Combustible Gearhulk						1																																													
Comet Storm						1																		1													1						1				1				
Coming Attraction									1																																										
command beacon												1		1													1																								
Command Tower		1	1	1		1	1	1	1	1	1		1		1	1	1		1	1		1			1				1		1		1	1	1		1	1		1	1		1	1	1			1	1		1
Commander's Plate																		1																																	
Commander's Sphere	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1		1	1		1	1	1			1	1	1		1	1	1		1	1	1	1		1				1	1			1	1	1	1	1
Concealed Courtyard																																			1																
Concordant Crosscroads																																										1				1					
Condemn																							1																						1						
Conduit of Ruin												1																																							
Confiscate																						1																													
Conqueror's Gallian																	1																																		
Consecrated Sphinx																																												1							
Conspicuous Snoop					1																																														
Conspiracy																												1																							
Contaminated Aquifer				1																																															
Control Magic																											1																								
Copperline Gorge										1																																									
Copy Artifact																1	1		1																																
Coralhelm Chronicler																																																			
Coralhelm Guide																											1																								
Corpsejack Menace																																																			1
Cosima, God of the voyage																																																	1		
Cosmos Elixer																										1																									
Council's Judgement															1					1			1		1	1									1		1												1		
Counterlash				1																																															
Counterspell								1														1																1	1												
Countervailing Winds																																									1										
Court of Cunning																																				1															
Cragcrown Pathway (flip)										2	1									1				1																									1		
Cranial Plating							1		1																																										
Craterhoof Behemoth									1		1				1	1								1																1		1				1		1			
Crawling Barrens												1								1																															
Creakwood Leige																												1																							
Creeping Renaissance											1																																								
Crosis the purger																									1																										
Crucible of Worlds		1																												1												1							1		
Crumbling Necropolis				1									1																														1							1	
Crux of Fate														1																																					
Cryptic Command																											1									1		1													
Crystal Quarry													1																																						
Crystal Shard							1												1			1														1				1											
Crystal Vein												1																																							
Cubwarden																																	1																		
Cultivate													1		1			1							1			1				1	1									1		1							
Cultivator Colosuss										1																																									
Cultivator's Caravan																	1																																		
Cultivator's Collosus		1																																																	
Curator of Mysteries																																									1										
Cursed Rack												1																																							
Cut your Losses																																				1															
Cyber Drive Awakener																	1																																		
Cyclone Summoner										1																																									
Cyclonic Rift																									1	1								1		1		1	1				1					1			1
Dack Fayden		1																																																	
Dakkon, Shadow Slayer																1										1																									
Damn							1												1						1								1																		
Damnation			1			1								1							1									1				1	1								1	1						1	
Dance of the Manse								1																																											
Daretti, Scrap Savant					1																									1	1																Commander				
Dark Depths					1																							1																							
dark imposter																																			1																
Dark Moss Bridge																														1																					
Dark Ritual														1																																					
Darkbore Pathway																												1	1																						
Darksteel Citadel												1																																			1				
Darksteel Forge							1	1	1			1					1													1																	1				
Darksteel Ingot																			1			1	1							1			1					1							1						
Darksteel Reactor																										1																									
Darkwater Catacombs																																											1								
Darren, King of Kjeldor																																1																			
Dauthi Voidwalker						1								1																																					
Dawn of Hope																																																			
Dawnglade Regeant																		1										1												1				1		1					
Day of judgement		1	1												1	1			1																																
Dead Beat Attendant									1																																										
Dead of Winter																					1																														
Death Barron																																		1																	
Deathcap Glade									1																			1	1															1							
Debtor's Kneel																																			1																
Decanter of Endless Water							1									1																																			
Decree of Annihilation																														1																					
Decree of Justice															1																										1										
Decree of pain														1							1																														
Decree of Silence																																									1										
Deep Analysis																																						1	1											1	
Deep Gnome Terramancer			1																																																
Deepglow Skate																																																		1	1
Defense of the heart																																										1		1	1						
Defiler of Flesh									1																																										
Defiler of Insinct	1																																																		
Defiler of Vigor									1																																										
Deflecting Swat																																					1														
Deliver Unto Evil																																											1								
Demon of loathing				1																																															
Demonic Tutor			1											1					1									1						1									1							1	
Den of the bugbear																								1							1																				
Deranged Hermit																													1																						
Descend upon the Sinfull																							1																												
Descent into Avernus						1																																													
Desert of hte Fervnt																																									1										
Desert of the Glorified																																	1																		
Desert of the Indomitable																																	1																		
Desert of the Mindful																																									1										
Desert of the True																																									1										
Desert Twister																						1								1																					
Deserted Beach																	1																												1						
Desolation																														1																					
Destructive Flow																														1																					
Destructive Force																														1																					
Detection Tower																											1																								
Detention Sphere																																													1						
Devastating Mastery																							1										1																		
Devilish Valet	1																																																		
Diabolic Servitude														1							1																														
Diabolic Tutor														1																																					
Dig Site Engineer							1																																												
Dimir Locket																			1																															1	
Dire Fleet Ravager														1																																					
Dire-Strain Rampage																								1																											
Diregraft Captain																																		1																	
Dirge Bat																																	1																		
Disalow																																						1	1									1			
Disciple of Caelus Nin																																1																			
Discourtesy Clerk									1																																										
Disipate																																						1	1												
Dismantling Wave																																									1										
Dismember			1						1					1							1								1				1																		
Displacer Kitten		1																																																	
District Guide		1																																																	
Domri, Anarch of Bolas													1							1				1																											
Doom Whisperer			1			1															1																							1							
Door to Nothingness																1																																			
Double Vision																																											1								
Doubling Cube																																				1															
Doubling Season																		1										2																							1
Drach'Nyen				1			1																																												
Draconian Gate-Bot									1																																										
Draconic Destiny					1																																														
Dragon Skull Summit						1																																												1	
Dragon Tempest																									1																										
Dragon's Hoard																																																		1	
Drakuseth, Maw of flames																									1																										
Drana, Kalastria Bloodcheif			1																																1																
Dranith Magistrate																																1																			
Drawn from Dreams																																							1												
Drawsforge Bridge																														1																					
Dread Return														1																																					
Dread Summons																																		1																	
Dreadbore						1																																											1	1	
Dreadhorde Invasion						1								1																																					
Dreadhound																					1																														
Dreamroot Cascade											1																													1								1			
Dreamstone Hedron												1																																							
Drey Keeper																													1																						
Drift of Phantasms																																							1												
Drifting Meadow															1		1						1																		1										
Drop Tower									a																																										
Drown in Dreams																																		1																	
Drowned Catacomb																																											1							1	
Dryad Arbor																		1																								1				1					
Dryad of the Ilysian Grove																																																	1		1
Dryad's Revival		1																																																	
Dual Caster Mage	1																																																		
Dueling Grounds																																													1						
Dugneon Descsent																1																																			
Duke, Ulder Raven Gard																1																																			
Duneblast													1																																						
Duplicant																				1			1				1							1				1		1			1	1			1	1			
Dustin, Gadget Genius																1																																			
Dwarven Mine																																															1				
Dwynen, Guilt-leaf Daen																																														1					
E. Honda, Sumo Champion																																1																			
Earthlink																														1																					
eat to Extinction																																																			
Eberos' Intervention																					1																														
Ebondeath, Draco Lich																1																																			
Echo of Eons																			1																																
Edgar Markov																																			Commander																
Edgar, Charmed Groom																																			1																
Eerie Ultimatum																									1								1																		1
Egon, God of Death																																																			
Eidolon of Blossoms																																													1						
Eiganjo Castle																							1																												
Eiganjo, Seat of the Empire			1					1									1		1																																
Eladamri, Lord of Leaves																																														1					
Elbrus, the binding Blade				1			1																																												
Eldrazi Conscription												1													1																				1						
Eldrazi Monument																																																			
Eldrazi Temple												1																																							
Eldrich Pact			1						1							1																																			
Elesh Norn, Grand Cenobite		1	1												1					1			1		1							1																			
Eleven, the mage																Commander 1																																			
Elsha of the infinite							1																																												
Elspeth Conquers Death																				1													1																		
Elspeth, Sun's Champion																																1																			
ELvish Aborition																						1																								1					
ELvish Archdruid																																														1					
elvish champion																																														1					
Elvish Piper																																														1					
Embassador Laquatus																																				1															
Embercleave				1	1					1										1					1						1				1		1										1				
Emerald Medallion																																										1									
Emergent Ultimatum																																												1							
Emeria, the Sky Ruin																							1																												
Emeria's call																										1					1	1																	1		
Emery, Lurker of the Lock							1	1									1										1																								
Emporer Mihail, II																											1																								
Empress Galina																											1																								
Empty the Warrens					1																																														
Emrakul, the Promised End						1					1	1																																							
Enchanted Evening																																													1						
Enclave Cryptologist																											1																								
End Hostilities																							1																												
Endatha Triome																1									1																								1		
Endbringer												1																																							
Endraze forrunners																												1																							
Enduring Angel																																					1														
Enferno of the Sky Mounts																1																																			
Enigma Sphynx																										1																									
Enigmatic Incarnation																																													1						
Enlightened Tutor								1									1																												1				1		
Ensnaring Bridge								1																																											
Enter the infinite																																							1												
Entreat the Angles															1																																				
Epic Struggle																												1																							
Epicenter																														1																					
Erebos, God of the dead																			1																														1		
Erratic Portal					1					1		1						1		1				1																											
Esika, God of the Tree (flip)																																																	Commander		
Etali, Primal Storm	1									1															1																						1				
Eternal Dragon																							1												1		1				1										
Eternal Witness		1									1																					1								1		1		1		1		1			
Ether Swarm Adjudicator							1																			1																									
Ether Swarm Canonist																										1																									
Ethereal Usher																																							1												
Etherium-Horn Sorcerer											1																																								
Evacuation																																							1												
Everflowing Chalice												1										1																									1				
Evolving Wilds					1								1		1	1	1					1			1								1							1			1								
Expansion/Explosion																																						1													
Expedition Map												1																																							
Explore the under dark		1																																																	
Explosive Vegetation													1																																						
Exponential Growth																		1																																	
Expropriate				1																																															
Exquisite Blood																			1																																
Exterminadas			1																																																
Extractor Demon																					1																														
Eye of Ugin												1																																							
Ezuri, Renegade Leader																																														1					
Fable of the mirror breaker	1				1																																														
Fabled Passage	1	1	1	1		1		1			1			1	1	1	1	1	1	1	1		1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1
Fact or fiction																																		1									1	1							
Faeburrow Elder																				1																															
Faerie Conclave																											1									1			1												
Faithbound Judge																										1																									
Faithless Looting	1																																																		
Fallaji Wayfarer													1																																						
Farewell			1					1							1	1	1		1				1																												
Farseek									1				1																																						
Fated Retribution																							1																												
Fated Return														1																																					
Fathom Mage																																													 						1
Feaburrow Elder													1																																						
Felidar Retreat															1																																				
Felidar Sovereign																										1																									
Fellwar Stone						1							1	1																																					
Ferris Wheel									a																																										
Fertile Ground																																													1						
Fertile Thicket																																														1					
Fertilid																																	1																		1
Feted Pools																																											1								
Fetted Heath			1																1							1									1		1														
Fetted Pools																										1								1																	
Field of Ruin	1										1	1		1	1								1					1						1		1									1		1				1
Field of the Dead																											1	1								1															
Fiend Artisan																												1																							
Fierce Guardianship																																		1				1	1									1		1	
Fiery Confluence	1																																																		
Fiery Emancipation 					1																																										1			1	
Fiery Islet				1						1	1																														1									1	
Fighter Class																															1																				
Final Judgement								1															1																												
Finale of devestation																												1																				1			
Finale of Eternity																					1																														
Finale of GLory															1																																				
Fire Diamond	1				1	1					1					1														1																	1				
Fire-Lit Thicket										1										1																															
Fireblast	1																																																		
Firece empath																																														1					
Flagstones of Trokair																							1																												
Flamekin village																																															1				
FlameRift	1																																																		
Flametongue Kavu																																															1				
Flawless Maneuver															1																																				
Flayer of the hate bound	1																																																		
Fleshbag Marauder																																												1							
Flooded Grove										1	1																													1				1	1						
Flooded Strand										1													1			1															1			1							
Floriferous Vinewall		1																																																	
Fluctuator																																									1										
Foam Weapons Kiosk									a																																										
Folio of Fancies																																				1															
Followed Footsteps																																																1			
Font of Mythos												1																								1															
Food Chain										1																																									
Forbidding Watchtower								1																																											
Forge of Heroes																																																			1
Forgotten Ancient										1																																									
Forgotten Cave																																						1			1		1				1			1	
Forgotten Creation																																		1										1							
Forsake the Worldly																																									1										
Forsaken Monument												1																																							
Fortified Village															1																		1																		
Forturne Teller									a																																										
Fractured Identity																																																			
Freylise, Llanowar's Fury																													1											1		1		1		Commander		1			1
from the catacombs			1			1								1																																					
Frontier Bivouac										1	1		1																																						
Frontier Guide																																														1					
Frost Titan																																						1													
Fumigate																							1																												
Furycalm Snarl																				1																															
Fyndhorn Elves																																								1						1					
Gaea's Blessing		1																																																	
Gaea's Will																																																1	1		
Gala Greeters											1																																								
Gamble					1																																														
Gargos, Vicious Watcher																		Commander																																	
Garruk, Apex Predator													1																																						
Garruk, Caller of Beasts																																														1					
Garruk, Cursed Huntsman									1				1															1	1				1																		
Garruk, Primal Hunter																		1																								1				1					
Garruk, Unleashed									1																								1																		
Garruk's Horde										1																																									
Garruk's Uprising																						1																													
Gateway Plaza		1																																																	
Gauntlet of Power	1																																																		
Gavi, Nest Warden																																									Commander										
Gavony Township															1																																				
Geier Reach Sanctum												1																																							
Geier Reach Sanitarium																																				1															
Gelatinous Genesis																						1																													
Gemstone Caverns												1																																							
Generous Gift																	1																																		
Genesis										1																							1																		
Genesis Hydra																		1																																	
Geothermal Bog				1																																															
Geralf, Visionary Sticher																																		1																	
Gerard Weatherlight Hero																															1																				
Geth, lord of the vault																																		1																	
Ghalta, Primal Hunger																																												1							
Ghost Quarter						1																																													
Ghostly Prison								1																																											
Giant Growth																		1																																	
Giant Killer																1																1																			
Gideon, Champion of Justice																				1																															
Gilded Goose															1																																				
Gilded Lotus	1	1		1	1	1	1	1		1	1		1	1	1	1	1		1	1	1		1	1			1		1	1	1	1			1	1	1	1	1		1	1	1		1	1	1	1	1	1	1
Gingerbread Cabin																																										1				1					
Gisa and Geralf																																																			
Gisela, Blade of Gold Night																				1					1						1				1		1														
Glacial Floodplain																																																			
Glacial Fortrtess																	1																																		1
Glass Pool Mimic (flip)																																								1								1			
Glen Elendra Archmage																																							1												
Glimmerbarin																																																			
Glint-Eye Nephilim													1																																						
Glissa, Sun Seeker																																														1					
Glory																																1																			
Glowstone Recluse																																	1																		
Gnottvoid Slumbermound											1																																								
Goblin Bushwacker					1																																														
Goblin Chirurgeon					1																																														
Goblin King					1																																														
Goblin Lackey					1																																														
Goblin Lore					1																																														
Goblin Matron					1																																														
Goblin Pile Driver					1																																														
Goblin Rabble Maser					1																																														
Goblin Ring leader					1																																														
Goblin Sharpshooter					1																																														
Goblin Trap Runner					1																																														
Goblin War Chief					1																																														
Goblin War Party					1																																														
Goblin Warrens					1																																														
Goblin Welder					1																																										1				
God-Eternal Oketria																																																	1		
God-Eternal Rhonas																																																	1		
Godless Shrine							1												1						1	1									1		1														1
Godsend																															1																				
Golgari Guildgate																																	1																		
Golgari Signet									1							1														1																					
Golos, Tireless pilgrim																																																	1		
Gond Gate		1																																																	
Gonti, Lord of Luxury														1																																					
Gorion, Wise Mentor																																																			
Grand Abolisher																																1																			
Grand Arbiter Augustus, IV								1																																											
Grappling Hook																															1																				
Grave Pact																																												1							
Grave Spawn Sovereign																																		1																	
Grave Titan						1																																													
Graven Cairns						1																													1		1													1	
Gray Harbor Merfold																											1																								
Great Furnace																															1																1				
Great unclean one				1																																															
Greater Good																																								1		1		1		1					
Green Sun's Zenith										1																																									
Greenwarden of Murasa																																								1		1				1					
Gretchen Titchwillow																						1																													
Grim Backwoods																												1	1																						
Grim Monolith																																																			
Grim Tutor														1												1																							1		
Grindstone																																				1															
Gringrin, Corpose-Born																																		1																	
Grist, the Hunger Tide																													1																						
Grove of the burnwillows																				1																															
Growing Rites of Itlimoc																																														1					
Gruul Guildgate		1																																																	
Gruul Signet																														1																					
Gruul Signet																								1																											
Grymmore of the dead																																																			
Guardian of Faith																																	1																		
Guildless Commons												1																																							
Gyre Sage										1																																									
Gyruda, Doom of Depths				1																																															
Haggra Mauling																					1																														
Hagra, Mauling														1												1		1									1														
Halana and Alena, Partners																								1																											
Hall of Heliod's Generosity																																									1				1				1		
Hall of Mirrors									a																																										
Hall of Storm Giants								1			1					1	1		1																																
Hallowed Burial																							1																												
Hallowed Fountain		1						1									1		1						1	1															1								1		1
Halvar, God of Battle																															1																				
Halvard, God of Battle (flip)																																																	1		
Hammer of Nazahen																				1											1																				
Hammerheim																																						1													
Hannah, Ship's Navigator																	1																																		
Hardened Scales										1								1														1																			
Harmonious Archon															1																																				
Harmonize									1																								1									1									
Harold of Leshrae														1																																					
Harrow										1					1			1																																	
Hatred																																											1								1
Haunted House									a																																										
Haunted Mire									1																																										
Haunted Ridge																																																		1	
Havengul Laboratory						1			1																																										
Havoc Demon				1																																															
Hawkin's National Laboratory																1					1																														
Heap Gate		1																																																	
Heartless Hidetsugu	1																																																		
Heartwork Storyteller																																														1					
Hedron Archive							1					1																																							
Heliod, God of the sun																							1																										1		
Heliod, Sun-crowned																							1		1	1																							1		1
Helkite Charger																																																			
Helldozer																														1																					
Hellkite Courser																									1																										
Hellkite Tyrant											1									1					1												1													1	
Hellrider	1																																																		
Helm of Awakening												1																																							
